Domain_Code,Domain,Area_Code_M49,Area,Element_Code,Element,Item_Code_CPC,Item,Year_Code,Year,Unit,Value,Flag,Flag_Description,Note
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01211,Asparagus,2000,2000,ha,7630.0,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,392,Japan,5412,Yield,01211,Asparagus,2000,2000,kg/ha,3761.5,X,Figure from international organizations,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01211,Asparagus,2000,2000,t,28700.0,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01211,Asparagus,2001,2001,ha,7230.0,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,392,Japan,5412,Yield,01211,Asparagus,2001,2001,kg/ha,3914.2,X,Figure from international organizations,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01211,Asparagus,2001,2001,t,28300.0,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01211,Asparagus,2002,2002,ha,7500.0,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,392,Japan,5412,Yield,01211,Asparagus,2002,2002,kg/ha,3826.7,X,Figure from international organizations,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01211,Asparagus,2002,2002,t,28700.0,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01211,Asparagus,2003,2003,ha,6380.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01211,Asparagus,2003,2003,kg/ha,4404.4,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01211,Asparagus,2003,2003,t,28100.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01211,Asparagus,2004,2004,ha,6480.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01211,Asparagus,2004,2004,kg/ha,4490.7,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01211,Asparagus,2004,2004,t,29100.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01211,Asparagus,2005,2005,ha,6370.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01211,Asparagus,2005,2005,kg/ha,4442.7,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01211,Asparagus,2005,2005,t,28300.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01211,Asparagus,2006,2006,ha,6380.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01211,Asparagus,2006,2006,kg/ha,4420.1,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01211,Asparagus,2006,2006,t,28200.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01211,Asparagus,2007,2007,ha,6530.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01211,Asparagus,2007,2007,kg/ha,4762.6,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01211,Asparagus,2007,2007,t,31100.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01211,Asparagus,2008,2008,ha,6540.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01211,Asparagus,2008,2008,kg/ha,4709.5,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01211,Asparagus,2008,2008,t,30800.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01211,Asparagus,2009,2009,ha,6510.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01211,Asparagus,2009,2009,kg/ha,4777.3,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01211,Asparagus,2009,2009,t,31100.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01211,Asparagus,2010,2010,ha,6490.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01211,Asparagus,2010,2010,kg/ha,4838.2,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01211,Asparagus,2010,2010,t,31400.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01211,Asparagus,2011,2011,ha,6290.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01211,Asparagus,2011,2011,kg/ha,4578.7,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01211,Asparagus,2011,2011,t,28800.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01211,Asparagus,2012,2012,ha,6030.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01211,Asparagus,2012,2012,kg/ha,4743.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01211,Asparagus,2012,2012,t,28600.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01211,Asparagus,2013,2013,ha,5770.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01211,Asparagus,2013,2013,kg/ha,5130.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01211,Asparagus,2013,2013,t,29600.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01211,Asparagus,2014,2014,ha,5580.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01211,Asparagus,2014,2014,kg/ha,5107.5,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01211,Asparagus,2014,2014,t,28500.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01211,Asparagus,2015,2015,ha,5470.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01211,Asparagus,2015,2015,kg/ha,5319.9,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01211,Asparagus,2015,2015,t,29100.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01211,Asparagus,2016,2016,ha,5420.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01211,Asparagus,2016,2016,kg/ha,5608.9,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01211,Asparagus,2016,2016,t,30400.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01211,Asparagus,2017,2017,ha,5330.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01211,Asparagus,2017,2017,kg/ha,4915.6,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01211,Asparagus,2017,2017,t,26200.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01211,Asparagus,2018,2018,ha,5170.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01211,Asparagus,2018,2018,kg/ha,5125.7,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01211,Asparagus,2018,2018,t,26500.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01211,Asparagus,2019,2019,ha,5010.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01211,Asparagus,2019,2019,kg/ha,5349.3,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01211,Asparagus,2019,2019,t,26800.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01211,Asparagus,2020,2020,ha,4800.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01211,Asparagus,2020,2020,kg/ha,5562.5,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01211,Asparagus,2020,2020,t,26700.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01211,Asparagus,2021,2021,ha,4500.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01211,Asparagus,2021,2021,kg/ha,5600.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01211,Asparagus,2021,2021,t,25200.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01211,Asparagus,2022,2022,ha,4360.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01211,Asparagus,2022,2022,kg/ha,5963.3,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01211,Asparagus,2022,2022,t,26000.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01211,Asparagus,2023,2023,ha,4466.0,I,Imputed value,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01211,Asparagus,2023,2023,kg/ha,5969.5,E,Estimated value,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01211,Asparagus,2023,2023,t,26658.94,I,Imputed value,No additional notes
QCL,Crops and livestock products,392,Japan,5312,Area harvested,01243,"Broad beans and horse beans, green",2003,2003,ha,2480.0,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5412,Yield,01243,"Broad beans and horse beans, green",2003,2003,kg/ha,8266.1,A,Official figure,No additional notes
QCL,Crops and livestock products,392,Japan,5510,Production,01243,"Broad beans and horse beans, green",2003,2003,t,20500.0,A,Official figure,No additional notes
